item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series1_sith_speeder	249980								
item_tcg_loot_reward_series2_barn	249981								
item_tcg_loot_reward_series2_diner	249982								
item_tcg_loot_reward_series3_sith_meditation_room_deed	249983								
item_tcg_loot_reward_series3_swamp_speeder	249984								
item_tcg_loot_reward_series4_geonosian_speeder_02_01	249987								
item_tcg_loot_reward_series4_peko_peko_mount_02_01	249991								
item_tcg_loot_reward_series4_relaxation_pool_deed_02_01	249993								
item_tcg_loot_reward_series4_senate_pod_02_01	249995								
item_tcg_loot_reward_series5_air2_swoop_speeder	249998								
item_tcg_loot_reward_series5_player_house_atat	250003								
item_tcg_loot_reward_series5_player_house_hangar	250005								
item_tcg_loot_reward_series5_xj6_air_speeder	250006								
item_tcg_loot_reward_series6_deed_emperor_spire	250007								
item_tcg_loot_reward_series6_deed_rebel_spire	250008								
item_tcg_loot_reward_series6_ric_920_speeder	250009								
item_tcg_loot_reward_series7_atpt_walker	250010								
item_tcg_loot_reward_series7_buildreward_republic_gunship	250011								
item_tcg_loot_reward_series7_deed_commando_bunker	250012								
item_tcg_loot_reward_series7_deed_vehicle_garage	250013								
item_tcg_loot_reward_series7_deed_vip_bunker	250014								
item_tcg_loot_reward_series8_bespin_house_deed	250015								
item_tcg_loot_reward_series8_yoda_house_deed	250016								
item_tcg_merr_sonn_jt12_jetpack_deed	250017								
